,Crop,Crop Stage,Nutrient,Level,Value
1,Corn,V2,Total Sugars,High,2
2,Corn,V3,Total Sugars,High,2
3,Corn,V4,Total Sugars,High,0.74
4,Corn,V5,Total Sugars,High,0.74
5,Corn,V6,Total Sugars,High,0.74
6,Corn,V7,Total Sugars,High,0.78
7,Corn,V8,Total Sugars,High,0.78
8,Corn,V9,Total Sugars,High,0.78
9,Corn,V10,Total Sugars,High,0.6
10,Corn,V11,Total Sugars,High,0.6
11,Corn,V12,Total Sugars,High,0.6
12,Corn,V13,Total Sugars,High,0.6
13,Corn,V14,Total Sugars,High,0.6
14,Corn,V15,Total Sugars,High,0.6
15,Corn,VT,Total Sugars,High,0.64
16,Corn,R1,Total Sugars,High,0.64
17,Corn,R2,Total Sugars,High,0.76
18,Corn,R3,Total Sugars,High,0.76
19,Corn,R4,Total Sugars,High,0.76
1,Soybeans,V1,Total Sugars,High,1.1
2,Soybeans,V2,Total Sugars,High,1.1
3,Soybeans,V3,Total Sugars,High,1.1
4,Soybeans,V4,Total Sugars,High,1.1
5,Soybeans,V5,Total Sugars,High,1.1
6,Soybeans,V6,Total Sugars,High,1.1
7,Soybeans,V7,Total Sugars,High,1.1
8,Soybeans,V8,Total Sugars,High,1.1
9,Soybeans,V9,Total Sugars,High,1.1
10,Soybeans,R1,Total Sugars,High,3
11,Soybeans,R2,Total Sugars,High,3
12,Soybeans,R3,Total Sugars,High,3
1,Corn,V2,Total Sugars,Low,1.5
2,Corn,V3,Total Sugars,Low,1.5
3,Corn,V4,Total Sugars,Low,0.28
4,Corn,V5,Total Sugars,Low,0.28
5,Corn,V6,Total Sugars,Low,0.28
6,Corn,V7,Total Sugars,Low,0.33
7,Corn,V8,Total Sugars,Low,0.33
8,Corn,V9,Total Sugars,Low,0.33
9,Corn,V10,Total Sugars,Low,0.24
10,Corn,V11,Total Sugars,Low,0.24
11,Corn,V12,Total Sugars,Low,0.24
12,Corn,V13,Total Sugars,Low,0.24
13,Corn,V14,Total Sugars,Low,0.24
14,Corn,V15,Total Sugars,Low,0.24
15,Corn,VT,Total Sugars,Low,0.25
